calibration.id,Genet,SerialNo,Tree.ID,group,leaves.used,agg.wetmass_mg,agg.drymass_mg,biomass.proportion_dry.div.wet,water.proportion_1.minus.bioprop,redo,Comments
1,158,528,2_E_24,slow,4,585.3,190.2,0.3249615582,0.6750384418,,
2,91,555,2_F_23,fast,3,719.4,226.5,0.3148457048,0.6851542952,,
3,203,639,2_I_23,med,4,1196.5,432.2,0.3612202257,0.6387797743,,
4,333,671,2_J_27,fast,3,1038.5,323.2,0.311218103,0.688781897,,
5,368,672,2_J_28,med,3,709.3,215.7,0.3041026364,0.6958973636,,
6,135,700,2_K_28,fast,4,1323.5,419.4,0.3168870419,0.6831129581,,
7,174,697,2_K_25,med,3,690.3,241.6,0.3499927568,0.6500072432,,
8,207,783,2_N_27,slow,4,955.8,383.5,0.4012345679,0.5987654321,,
9,182,751,2_M_23,fast,5,762.5,278.9,0.3657704918,0.6342295082,,
10,138,1149,3_N_1,med,3,855,325.2,0.3803508772,0.6196491228,,
11,336,1150,3_N_2,slow,3,609.1,205.1,0.3367263175,0.6632736825,,
12,256,616,2_H_28,slow,4,797,284,0.356336261,0.643663739,,
13,335,1103,3_L_11,slow,3,597.1,239.1,0.400435438,0.599564562,,
14,24,803,3_A_19,slow,3,657.1,222.2,0.3381524882,0.6618475118,,
15,178,833,3_B_21,slow,3,736.4,288.5,0.3917707768,0.6082292232,,
16,186,835,3_B_23,fast,4,972.9,300,0.3083564601,0.6916435399,,
17,16,1114,3_L_22,fast,3,759,255.6,0.3367588933,0.6632411067,,
18,5,950,3_F_26,med,4,755.7,252.9,0.3346566098,0.6653433902,,
19,268,1151,3_N_3,slow,3,781.9,304.1,0.3889244149,0.6110755851,,
20,320,819,3_B_7,med,3,652.6,242.3,0.3712840944,0.6287159056,,
21,141,959,3_G_7,fast,3,949.4,309.8,0.3263113545,0.6736886455,,
22,118,1127,3_M_7,fast,4,1111.5,333.5,0.3000449843,0.6999550157,,
23,310,1157,3_N_9,med,4,683.9,231.6,0.3386460009,0.6613539991,,
24,237,937,3_F_13,fast,4,973,332.4,0.3416238438,0.6583761562,,
25,63,512,2_E_8,fast,3,691.9,186.4,0.2694030929,0.7305969071,,
26,168,473,2_C_25,med,4,793.8,292.5,0.3684807256,0.6315192744,,
27,176,497,2_D_21,slow,4,956.3,317.1,0.3315905051,0.6684094949,,
28,6,602,2_H_14,slow,4,923.4,314,0.34004765,0.65995235,,
29,189,715,2_L_15,med,3,585.3,181.8,0.3106099436,0.6893900564,,
30,251,526,2_E_22,fast,4,842,264.2,0.3137767221,0.6862232779,,
31,318,421,2_B_1,slow,4,933.2,338.3,0.3625160737,0.6374839263,,
32,143,617,2_I_1,med,3,1111.5,319.6,0.2875393612,0.7124606388,,
33,171,415,2_A_23,med,3,1171.1,421.2,0.3596618564,0.6403381436,,
34,172,523,2_E_19,fast,4,1146.5,349.4,0.3047535979,0.6952464021,,
35,58,441,2_B_21,med,3,465.2,164.5,0.35361135,0.64638865,,
36,66,647,2_J_3,slow,4,1003.6,308.9,0.307791949,0.692208051,,
37,16,1114,3_L_22,fast,3,629,212.8,0.3383147854,0.6616852146,x,
38,186,835,3_B_23,fast,3,724.1,245.8,0.3394558763,0.6605441237,x,
39,178,833,3_B_21,slow,2,380.8,138.8,0.3644957983,0.6355042017,x,
40,24,803,3_A_19,slow,3,618.7,216.1,0.34928075,0.65071925,x,
41,237,937,3_F_13,fast,3,686.5,241,0.3510560816,0.6489439184,x,
42,141,959,3_G_7,fast,2,697.1,227.8,0.3267823842,0.6732176158,x,
43,320,819,3_B_7,med,3,740,278.5,0.3763513514,0.6236486486,x,
44,268,1151,3_N_3,slow,4,1357.8,487.1,0.3587420828,0.6412579172,x,
45,336,1150,3_N_2,slow,3,717.1,270,0.3765165249,0.6234834751,x,
46,138,1149,3_N_1,med,3,606.3,224.4,0.370113805,0.629886195,x,
47,135,700,2_K_28,fast,3,784.8,247.1,0.3148572885,0.6851427115,x,
48,207,783,2_N_27,slow,4,950.3,334.9,0.3524150268,0.6475849732,x,
49,143,617,2_I_1,med,3,1842.2,510.8,0.2772771686,0.7227228314,x,
50,66,647,2_J_3,slow,4,986.5,306.7,0.310897111,0.689102889,x,
51,6,602,2_H_14,slow,4,854.1,308.2,0.3608476759,0.6391523241,x,
52,189,715,2_L_15,med,5,736.4,232.5,0.3157251494,0.6842748506,x,
53,58,441,2_B_21,med,3,655.2,233,0.3556166056,0.6443833944,x,
54,158,528,2_E_24,slow,3,567.8,201.2,0.3543501233,0.6456498767,x,
55,91,555,2_F_23,fast,3,748.8,211.7,0.2827190171,0.7172809829,x,
56,203,639,2_I_23,med,3,1073,393.6,0.3668219944,0.6331780056,x,
57,174,697,2_K_25,med,3,1070.9,409.8,0.3826687833,0.6173312167,x,
58,182,751,2_M_23,fast,4,712.1,258.8,0.3634321022,0.6365678978,x,
59,256,616,2_H_28,slow,3,800.1,292.7,0.3658292713,0.6341707287,x,
60,333,671,2_J_27,fast,3,636.5,205.1,0.3222309505,0.6777690495,x,
