"","Treatment","Genet 1","Genet 2","Genet 3"
"1","fast + med + slow","186","58","158"
"2","fast + med + slow","135","5","268"
"3","fast + med + slow","333","174","336"
"4","fast + med + slow","237","368","66"
"5","fast + med + slow","251","168","176"
"6","fast + med + slow","141","203","207"
"7","fast + med + slow","172","138","318"
"8","fast + med + slow","182","171","256"
"9","fast + med + slow","91","143","178"
"10","fast + med + slow","63","189","6"
"11","fast + med + slow","16","320","24"
"12","fast + med + slow","118","310","335"
